From,Whitelist,Amount
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xB6B942952f6112f529C8636ba8d0D2d227610332,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8B6fd11b5E1eAa4FEa2e7F3f58BB2fC5fF5A26A1,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x1DE203c23e526C3B2b03159F207Ed4B45A5Bd9C6,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x0E5723e999331fa535969D1A3aAD476bBf0fb1c7,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x5cbEA57B35a4134e26111f6A123f247786a07440,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x7A920218701bbC267eD6a5eDf0f6cb69d85Dc8f1,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x422403D247C308750D2C2bEB5477A0Fc7086c124,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x97F56228677a09d9bbC6f32B85d3886C9BB52C5f,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xe1AED6d5Ca8f88B8e85FE86c9DAA31729E4170CE,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xA6365A63b87d7810f54DE70F31f3f982A590f110,20